MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-02,1216,12.25,VERTEX 50,1123,,,,1.0,,,6.0,,15.0,VERTEX 50,810.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,1217,12.25,VERTEX 50,1149,,,,1.0,,,6.0,,16.5,VERTEX 50,955.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,1218,12.25,VERTEX 50,1163,,,,1.0,,,6.0,,17.5,VERTEX 50,1055.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,1219,12.25,VERTEX 50,1174,,,,1.0,,,6.0,,17.0,VERTEX 50,1005.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,1220,12.25,VERTEX 50,1151,,,,1.0,,,6.0,,17.0,VERTEX 50,1005.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,1221,12.25,VERTEX 50,1161,,,,1.0,,,6.0,,18.5,VERTEX 50,1155.0,,,,1.0,,,6.0,,
MAF9-SE-3320-02,4002,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.5,VERTEX 50,955.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4003,12.25,VERTEX 50,949,,,,0.0,,,7.0,,16.5,VERTEX 50,955.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4004,12.25,VERTEX 50,904,,,,0.0,,,7.0,,18.0,VERTEX 50,1105.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4005,12.25,VERTEX 50,904,,,,0.0,,,7.0,,17.5,VERTEX 50,1055.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4006,12.25,VERTEX 50,904,,,,0.0,,,7.0,,17.5,VERTEX 50,1055.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4007,12.25,VERTEX 50,904,,,,0.0,,,7.0,,17.0,VERTEX 50,1005.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4008,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.0,VERTEX 50,905.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4009,12.25,VERTEX 50,928,,,,0.0,,,7.0,,16.0,VERTEX 50,905.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4010,12.25,VERTEX 50,920,,,,0.0,,,7.0,,15.0,VERTEX 50,805.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4011,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.5,VERTEX 50,955.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4012,12.25,VERTEX 50,902,,,,0.0,,,7.0,,15.5,VERTEX 50,860.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4013,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.0,VERTEX 50,905.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4014,12.25,VERTEX 50,904,,,,0.0,,,7.0,,17.0,VERTEX 50,1005.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4035,12.25,VERTEX 50,1037,,,,0.0,,,7.0,,17.3,VERTEX 50,1035.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4036,12.25,VERTEX 50,1000,,,,0.0,,,7.0,,17.0,VERTEX 50,1000.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4037,12.25,VERTEX 50,1039,,,,0.0,,,7.0,,17.3,VERTEX 50,1039.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4038,12.25,VERTEX 50,1098,,,,0.0,,,7.0,,17.9,VERTEX 50,1098.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4039,12.25,VERTEX 50,1005,,,,0.0,,,7.0,,16.0,VERTEX 50,904.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4040,12.25,VERTEX 50,1007,,,,0.0,,,7.0,,16.0,VERTEX 50,904.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4041,12.25,VERTEX 50,1003,,,,0.0,,,7.0,,16.0,VERTEX 50,904.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4042,12.25,VERTEX 50,1018,,,,0.0,,,7.0,,16.0,VERTEX 50,904.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4043,12.25,VERTEX 50,1024,,,,0.0,,,7.0,,17.0,VERTEX 50,1003.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4044,12.25,VERTEX 50,1050,,,,0.0,,,7.0,,17.0,VERTEX 50,1003.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4045,12.25,VERTEX 50,1028,,,,0.0,,,7.0,,17.0,VERTEX 50,1003.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4046,12.25,VERTEX 50,1068,,,,0.0,,,7.0,,17.2,VERTEX 50,1028.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4047,12.25,VERTEX 50,1037,,,,0.0,,,7.0,,17.3,VERTEX 50,1037.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4048,12.25,VERTEX 50,1058,,,,0.0,,,7.0,,17.5,VERTEX 50,1058.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4049,12.25,VERTEX 50,1024,,,,0.0,,,7.0,,17.5,VERTEX 50,1058.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4050,12.25,VERTEX 50,1152,,,,0.0,,,7.0,,17.5,VERTEX 50,1058.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4051,12.25,VERTEX 50,1099,,,,0.0,,,7.0,,14.5,VERTEX 50,652.0,,,,0.0,,,7.8,,
MAF9-SE-3320-02,4052,12.25,VERTEX 50,1099,,,,0.0,,,7.0,,16.7,VERTEX 50,979.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4053,12.25,VERTEX 50,1123,,,,0.0,,,7.0,,17.5,VERTEX 50,1057.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4054,12.25,VERTEX 50,1100,,,,0.0,,,7.0,,18.0,VERTEX 50,1100.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4055,12.25,VERTEX 50,1057,,,,0.0,,,7.0,,17.5,VERTEX 50,1057.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4056,12.25,VERTEX 50,1010,,,,0.0,,,7.0,,17.0,VERTEX 50,1005.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4057,12.25,VERTEX 50,1013,,,,0.0,,,7.0,,17.0,VERTEX 50,1005.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4058,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.0,VERTEX 50,905.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4059,12.25,VERTEX 50,987,,,,0.0,,,7.0,,16.7,VERTEX 50,975.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4060,12.25,VERTEX 50,979,,,,0.0,,,7.0,,16.8,VERTEX 50,985.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,4061,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.0,VERTEX 50,905.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,Aux,12.25,VERTEX 50,904,,,,0.0,,,7.0,,16.0,VERTEX 50,904.0,,,,0.0,,,7.0,,
MAF9-SE-3320-02,Aux,12.25,BLENDEX 950,759,,,,0.0,,,6.0,,13.7,BLENDEX 950,759.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 1,6.5,VERTEX 50,340,,,,0.0,,,6.0,,18.0,VERTEX 50,340.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 2,6.5,VERTEX 50,340,,,,0.0,,,6.0,,18.0,VERTEX 50,340.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 3,6.5,VERTEX 50,311,,,,0.0,,,6.0,,17.0,VERTEX 50,311.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 4,6.5,VERTEX 50,311,,,,0.0,,,6.0,,17.0,VERTEX 50,311.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 5,6.5,VERTEX 50,311,,,,0.0,,,6.0,,17.0,VERTEX 50,311.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 6,6.5,VERTEX 50,283,,,,0.0,,,6.0,,16.0,VERTEX 50,283.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 7,6.5,VERTEX 50,283,,,,0.0,,,6.0,,16.0,VERTEX 50,283.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 8,6.5,VERTEX 50,283,,,,0.0,,,6.0,,16.0,VERTEX 50,283.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 9,6.5,VERTEX 50,255,,,,0.0,,,6.0,,15.0,VERTEX 50,255.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 10,6.5,VERTEX 50,226,,,,0.0,,,6.0,,14.0,VERTEX 50,226.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 11,6.5,VERTEX 50,198,,,,0.0,,,6.0,,13.0,VERTEX 50,198.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 12,6.5,VERTEX 50,170,,,,0.0,,,6.0,,12.0,VERTEX 50,170.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 13,6.5,VERTEX 50,115,,,,0.0,,,6.0,,10.0,VERTEX 50,115.0,,,,0.0,,,6.0,,
MAF9-SE-3320-02,Aux 14,6.5,VERTEX 50,90,,,,0.0,,,6.0,,9.0,VERTEX 50,90.0,,,,0.0,,,5.8,,
MAF9-SE-3320-02,Aux 15,6.5,VERTEX 50,90,,,,0.0,,,6.0,,9.0,VERTEX 50,90.0,,,,0.0,,,5.8,,
MAF9-SE-3320-02,102,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.6,,,4.5,,17.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.626,,,4.0,,
MAF9-SE-3320-02,103,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.5,,,4.5,,17.2,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.544,,,4.0,,
MAF9-SE-3320-02,104,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.5,,,4.5,,17.2,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.465,,,4.0,,
MAF9-SE-3320-02,105,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.6,,,4.5,,17.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.567,,,4.0,,
MAF9-SE-3320-02,106,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.4,,,4.5,,17.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.3870000000000005,,,4.0,,
MAF9-SE-3320-02,107,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.2,,,4.5,,17.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.172000000000001,,,4.5,,
MAF9-SE-3320-02,108,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,7.0,,,4.5,,16.6,BLENDEX 950,260.0,,BLENDEX 950,149.0,7.026,,,4.0,,
MAF9-SE-3320-02,109,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.8,,,4.5,,16.7,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.773,,,4.5,,
MAF9-SE-3320-02,110,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.5,,,4.5,,16.4,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.468,,,4.5,,
MAF9-SE-3320-02,111,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.3,,,4.5,,16.2,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.3229999999999995,,,4.5,,
MAF9-SE-3320-02,112,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.0,,,4.5,,16.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.005,,,4.5,,
MAF9-SE-3320-02,113,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.0,,,4.5,,16.0,BLENDEX 950,260.0,,BLENDEX 950,149.0,5.973,,,4.5,,
MAF9-SE-3320-02,114,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.2,,,4.5,,16.1,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.169,,,4.5,,
MAF9-SE-3320-02,115,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.3,,,4.5,,16.2,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.322,,,4.5,,
MAF9-SE-3320-02,116,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.6,,,4.5,,16.5,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.586,,,4.5,,
MAF9-SE-3320-02,117,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.6,,,4.5,,16.6,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.593,,,4.5,,
MAF9-SE-3320-02,118,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.4,,,4.5,,16.4,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.395,,,4.5,,
MAF9-SE-3320-02,119,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.2,,,4.5,,16.1,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.212999999999999,,,4.5,,
MAF9-SE-3320-02,120,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.4,,,4.5,,16.4,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.432,,,4.5,,
MAF9-SE-3320-02,121,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.6,,,4.5,,16.5,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.572,,,4.5,,
MAF9-SE-3320-02,122,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.7,,,4.5,,16.8,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.718,,,4.5,,
MAF9-SE-3320-02,123,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.8,,,4.5,,16.8,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.815,,,4.5,,
MAF9-SE-3320-02,124,10.625,BLENDEX 950,260,,BLENDEX 950,149.0,6.8,,,4.5,,16.8,BLENDEX 950,260.0,,BLENDEX 950,149.0,6.782,,,4.5,,
MAF9-SE-3320-02,501,12.25,VERTEX 50,1136,,VERTEX 50,50.0,0.0,,,5.5,,17.3,VERTEX 50,1136.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,602,12.25,VERTEX 50,1150,,VERTEX 50,50.0,0.0,,,5.5,,17.4,VERTEX 50,1150.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,603,12.25,VERTEX 50,1154,,VERTEX 50,50.0,0.0,,,5.5,,17.5,VERTEX 50,1150.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,701,12.25,VERTEX 50,1100,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1100.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,702,12.25,VERTEX 50,1130,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1100.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,703,12.25,VERTEX 50,1131,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1100.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,704,12.25,VERTEX 50,1095,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1100.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,802,12.25,VERTEX 50,1119,,VERTEX 50,50.0,0.0,,,5.5,,17.2,VERTEX 50,1129.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,803,12.25,VERTEX 50,1129,,VERTEX 50,50.0,0.0,,,5.5,,17.2,VERTEX 50,1129.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,804,12.25,VERTEX 50,1088,,VERTEX 50,50.0,0.0,,,5.5,,16.8,VERTEX 50,1088.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,805,12.25,VERTEX 50,1098,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,806,12.25,VERTEX 50,1095,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,807,12.25,VERTEX 50,1046,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,808,12.25,VERTEX 50,1054,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,809,12.25,VERTEX 50,1071,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,810,12.25,VERTEX 50,1070,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,811,12.25,VERTEX 50,1064,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,812,12.25,VERTEX 50,1072,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,813,12.25,VERTEX 50,1120,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1098.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,814,12.25,VERTEX 50,1129,,VERTEX 50,50.0,0.0,,,5.5,,17.2,VERTEX 50,1129.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,815,12.25,VERTEX 50,1120,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1095.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,901,12.25,VERTEX 50,1173,,VERTEX 50,50.0,0.0,,,5.5,,17.7,VERTEX 50,1173.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,902,12.25,VERTEX 50,1165,,VERTEX 50,50.0,0.0,,,5.5,,17.1,VERTEX 50,1119.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,903,12.25,VERTEX 50,1130,,VERTEX 50,50.0,0.0,,,5.5,,16.7,VERTEX 50,1073.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,904,12.25,VERTEX 50,1119,,VERTEX 50,50.0,0.0,,,5.5,,16.7,VERTEX 50,1073.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,905,12.25,VERTEX 50,1119,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1059.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,906,12.25,VERTEX 50,1101,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1059.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,907,12.25,VERTEX 50,1073,,VERTEX 50,50.0,0.0,,,5.5,,16.7,VERTEX 50,1073.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,908,12.25,VERTEX 50,1084,,VERTEX 50,50.0,0.0,,,5.5,,15.0,VERTEX 50,919.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,909,12.25,VERTEX 50,1084,,VERTEX 50,50.0,0.0,,,5.5,,15.0,VERTEX 50,919.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,910,12.25,VERTEX 50,1059,,VERTEX 50,50.0,0.0,,,5.5,,15.0,VERTEX 50,919.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,911,12.25,VERTEX 50,1059,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1059.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,912,12.25,VERTEX 50,1069,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1059.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,913,12.25,VERTEX 50,1101,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1059.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,914,12.25,VERTEX 50,1133,,VERTEX 50,50.0,0.0,,,5.5,,16.6,VERTEX 50,1069.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,915,12.25,VERTEX 50,1160,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1101.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1002,12.25,VERTEX 50,1147,,VERTEX 50,50.0,0.0,,,5.5,,17.2,VERTEX 50,1120.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1003,12.25,VERTEX 50,1132,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1105.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1004,12.25,VERTEX 50,1126,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1105.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1005,12.25,VERTEX 50,1130,,VERTEX 50,50.0,0.0,,,5.5,,16.7,VERTEX 50,1075.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1006,12.25,VERTEX 50,1131,,VERTEX 50,50.0,0.0,,,5.5,,16.8,VERTEX 50,1085.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1007,12.25,VERTEX 50,1128,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1055.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1008,12.25,VERTEX 50,1118,,VERTEX 50,50.0,0.0,,,5.5,,16.0,VERTEX 50,1005.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1009,12.25,VERTEX 50,1092,,VERTEX 50,50.0,0.0,,,5.5,,14.0,VERTEX 50,810.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1010,12.25,VERTEX 50,1056,,VERTEX 50,50.0,0.0,,,5.5,,15.5,VERTEX 50,955.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1011,12.25,VERTEX 50,1052,,VERTEX 50,50.0,0.0,,,5.5,,16.0,VERTEX 50,1005.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1012,12.25,VERTEX 50,1048,,VERTEX 50,50.0,0.0,,,5.5,,16.0,VERTEX 50,1005.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1013,12.25,VERTEX 50,1096,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1055.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1014,12.25,VERTEX 50,1122,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1055.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1015,12.25,VERTEX 50,1133,,VERTEX 50,50.0,0.0,,,5.5,,16.5,VERTEX 50,1055.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1016,12.25,VERTEX 50,1175,,VERTEX 50,50.0,0.0,,,5.5,,16.6,VERTEX 50,1065.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1101,12.25,VERTEX 50,1157,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1105.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1102,12.25,VERTEX 50,1135,,VERTEX 50,50.0,0.0,,,5.5,,17.3,VERTEX 50,1135.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1103,12.25,VERTEX 50,1155,,VERTEX 50,50.0,0.0,,,5.5,,17.5,VERTEX 50,1155.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1104,12.25,VERTEX 50,1161,,VERTEX 50,50.0,0.0,,,5.5,,17.6,VERTEX 50,1161.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1105,12.25,VERTEX 50,1164,,VERTEX 50,50.0,0.0,,,5.5,,17.6,VERTEX 50,1164.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1106,12.25,VERTEX 50,1130,,VERTEX 50,50.0,0.0,,,5.5,,17.3,VERTEX 50,1130.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1107,12.25,VERTEX 50,1115,,VERTEX 50,50.0,0.0,,,5.5,,17.1,VERTEX 50,1115.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1108,12.25,VERTEX 50,1075,,VERTEX 50,50.0,0.0,,,5.5,,17.5,VERTEX 50,1075.0,,VERTEX 50,50.0,0.0,,,5.8,,
MAF9-SE-3320-02,1109,12.25,VERTEX 50,1081,,VERTEX 50,50.0,0.0,,,5.5,,16.8,VERTEX 50,1081.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1110,12.25,VERTEX 50,1065,,VERTEX 50,50.0,0.0,,,5.5,,16.6,VERTEX 50,1065.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1112,12.25,VERTEX 50,1092,,VERTEX 50,50.0,0.0,,,5.5,,16.9,VERTEX 50,1092.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1113,12.25,VERTEX 50,1111,,VERTEX 50,50.0,0.0,,,5.5,,17.1,VERTEX 50,1111.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1114,12.25,VERTEX 50,1146,,VERTEX 50,50.0,0.0,,,5.5,,17.4,VERTEX 50,1146.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1115,12.25,VERTEX 50,1159,,VERTEX 50,50.0,0.0,,,5.5,,16.6,VERTEX 50,1065.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1116,12.25,VERTEX 50,1168,,VERTEX 50,50.0,0.0,,,5.5,,17.5,VERTEX 50,1159.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1117,12.25,VERTEX 50,1176,,VERTEX 50,50.0,0.0,,,5.5,,17.7,VERTEX 50,1176.0,,VERTEX 50,50.0,0.0,,,5.5,,
MAF9-SE-3320-02,1209,12.25,VERTEX 50,1105,,VERTEX 50,50.0,0.0,,,5.5,,17.0,VERTEX 50,1105.0,,VERTEX 50,50.0,0.0,,,5.5,,
